Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL
2026-05-02 20:45:00,13.26666667,16.2,,14.06666667,12.2,14.26666667,14.93333333,13.33333333
2026-05-02 21:00:00,12.8,15.73333333,,13.46666667,17.4,15.46666667,16.4,13.13333333
2026-05-02 21:15:00,14.8,14.4,,14.46666667,16.26666667,24.86666667,14.6,13.6
2026-05-02 21:30:00,15.6,14.4,,15.53333333,11.6,23.4,20.86666667,14.06666667
2026-05-02 21:45:00,14.66666667,16.06666667,,16.2,14.13333333,14.66666667,28.06666667,13.46666667
2026-05-02 22:00:00,14.46666667,16.06666667,,15.2,20.13333333,15.4,135.26666667,15.8
2026-05-02 22:15:00,17.33333333,12.33333333,,16.13333333,52.93333333,14.8,68.6,15.2
2026-05-02 22:30:00,19.33333333,12.8,,16.33333333,28.93333333,14.06666667,17.13333333,16.93333333
2026-05-02 22:45:00,21.13333333,13.4,,17.0,25.66666667,16.46666667,24.53333333,17.6
2026-05-02 23:00:00,24.26666667,13.66666667,,17.73333333,28.66666667,18.26666667,146.8,19.06666667
2026-05-02 23:15:00,19.86666667,12.06666667,,17.86666667,28.06666667,19.4,87.13333333,18.0
2026-05-02 23:30:00,16.2,13.93333333,,22.8,29.6,24.0,96.86666667,18.4
2026-05-02 23:45:00,17.66666667,14.06666667,,21.8,28.46666667,21.6,24.13333333,19.26666667
2026-05-03 00:00:00,14.4,13.66666667,,19.8,29.66666667,20.06666667,24.06666667,19.0
2026-05-03 00:15:00,16.86666667,15.4,,19.26666667,30.0,19.6,25.53333333,21.13333333
2026-05-03 00:30:00,18.4,16.46666667,,19.33333333,31.46666667,19.6,27.4,17.53333333
2026-05-03 00:45:00,18.06666667,17.93333333,,21.06666667,28.0,19.86666667,25.6,20.33333333
2026-05-03 01:00:00,17.86666667,15.4,,25.26666667,32.0,19.33333333,25.53333333,24.2
2026-05-03 01:15:00,18.13333333,17.66666667,,25.06666667,29.93333333,22.73333333,49.13333333,25.73333333
2026-05-03 01:30:00,16.0,15.2,,24.33333333,28.26666667,23.86666667,28.66666667,21.8
2026-05-03 01:45:00,16.6,15.86666667,,24.2,24.6,24.13333333,30.73333333,23.06666667
2026-05-03 02:00:00,21.13333333,17.26666667,,23.6,24.46666667,25.33333333,34.46666667,19.86666667
2026-05-03 02:15:00,17.6,18.06666667,,23.93333333,25.13333333,24.46666667,32.4,20.33333333
2026-05-03 02:30:00,16.4,18.6,,24.93333333,25.2,26.13333333,29.93333333,19.06666667
2026-05-03 02:45:00,17.8,18.53333333,,23.46666667,22.86666667,24.6,25.73333333,20.46666667
2026-05-03 03:00:00,18.86666667,17.53333333,,24.0,20.33333333,27.53333333,24.4,21.4
2026-05-03 03:15:00,19.33333333,15.53333333,,23.0,20.33333333,27.8,25.2,22.93333333
2026-05-03 03:30:00,22.26666667,14.93333333,,23.53333333,20.53333333,27.53333333,32.13333333,24.0
2026-05-03 03:45:00,19.13333333,15.93333333,,21.6,17.66666667,25.93333333,37.46666667,25.8
2026-05-03 04:00:00,19.86666667,16.66666667,,21.2,19.6,27.13333333,43.06666667,26.66666667
2026-05-03 04:15:00,22.33333333,16.8,,21.8,20.46666667,27.73333333,34.86666667,25.8
2026-05-03 04:30:00,21.8,17.8,,24.46666667,15.6,28.33333333,39.53333333,26.0
2026-05-03 04:45:00,19.86666667,17.4,,23.66666667,17.13333333,26.0,44.93333333,25.8
2026-05-03 05:00:00,21.66666667,17.4,,23.73333333,20.06666667,26.2,45.26666667,27.13333333
2026-05-03 05:15:00,21.46666667,19.0,,25.8,17.2,25.26666667,38.86666667,27.0
2026-05-03 05:30:00,22.33333333,17.86666667,,28.8,17.46666667,24.53333333,35.33333333,28.6
2026-05-03 05:45:00,23.73333333,19.06666667,,30.33333333,23.33333333,26.2,38.0,27.53333333
2026-05-03 06:00:00,23.6,18.53333333,,32.73333333,25.2,24.0,40.8,26.6
2026-05-03 06:15:00,23.06666667,19.06666667,,31.53333333,26.8,26.93333333,43.2,27.26666667
2026-05-03 06:30:00,26.8,16.86666667,,31.0,29.8,25.46666667,45.6,27.66666667
2026-05-03 06:45:00,26.8,16.06666667,,29.13333333,32.6,25.06666667,43.8,27.13333333
2026-05-03 07:00:00,26.06666667,22.4,,25.66666667,35.4,25.33333333,47.06666667,24.4
2026-05-03 07:15:00,26.8,18.66666667,,24.53333333,33.86666667,24.73333333,43.26666667,26.2
2026-05-03 07:30:00,26.0,18.4,,24.06666667,30.93333333,22.6,37.46666667,24.73333333
2026-05-03 07:45:00,24.86666667,17.0,,21.93333333,28.93333333,21.13333333,38.46666667,21.2
2026-05-03 08:00:00,26.4,16.46666667,,20.4,29.4,20.06666667,34.6,21.06666667
2026-05-03 08:15:00,21.53333333,15.26666667,,18.2,29.4,19.4,31.66666667,20.2
2026-05-03 08:30:00,21.2,14.46666667,,18.2,34.33333333,17.4,35.93333333,21.4
2026-05-03 08:45:00,20.13333333,15.2,,19.26666667,33.73333333,16.93333333,95.4,18.0
2026-05-03 09:00:00,18.8,13.73333333,,16.86666667,24.93333333,17.46666667,52.33333333,18.53333333
2026-05-03 09:15:00,18.73333333,14.0,,16.2,22.13333333,16.6,49.26666667,19.13333333
2026-05-03 09:30:00,16.93333333,15.06666667,,17.13333333,22.06666667,17.53333333,42.26666667,18.4
2026-05-03 09:45:00,17.53333333,14.8,,16.4,23.6,16.33333333,78.2,18.0
2026-05-03 10:00:00,16.8,16.66666667,,17.93333333,23.73333333,18.6,18.2,19.13333333
2026-05-03 10:15:00,15.53333333,17.53333333,,19.0,24.13333333,17.46666667,23.4,31.4
2026-05-03 10:30:00,17.46666667,18.93333333,,19.33333333,24.53333333,17.4,40.66666667,55.33333333
2026-05-03 10:45:00,18.13333333,17.26666667,,19.66666667,25.33333333,18.2,60.46666667,20.86666667
2026-05-03 11:00:00,18.66666667,19.33333333,,19.2,24.4,18.2,23.0,17.6
2026-05-03 11:15:00,21.0,16.6,,21.33333333,24.93333333,18.13333333,101.33333333,19.0
2026-05-03 11:30:00,21.86666667,19.86666667,,24.73333333,25.73333333,19.46666667,33.86666667,18.86666667
2026-05-03 11:45:00,19.4,19.13333333,,24.73333333,25.06666667,19.26666667,25.2,20.93333333
2026-05-03 12:00:00,20.6,18.66666667,,25.0,25.46666667,18.73333333,26.66666667,35.93333333
2026-05-03 12:15:00,21.46666667,18.06666667,,25.6,28.0,19.33333333,24.26666667,28.93333333
2026-05-03 12:30:00,22.0,18.53333333,,26.8,32.4,22.73333333,20.33333333,26.93333333
2026-05-03 12:45:00,22.53333333,19.13333333,,24.86666667,36.86666667,22.2,65.13333333,22.33333333
2026-05-03 13:00:00,24.6,19.46666667,,23.6,31.26666667,22.73333333,24.86666667,24.93333333
2026-05-03 13:15:00,22.8,19.6,,25.33333333,31.66666667,23.86666667,22.13333333,22.53333333
2026-05-03 13:30:00,26.0,20.93333333,,26.73333333,29.53333333,25.46666667,21.2,23.2
2026-05-03 13:45:00,25.93333333,21.2,,28.4,32.26666667,26.46666667,20.0,24.26666667
2026-05-03 14:00:00,28.46666667,22.93333333,,28.93333333,31.86666667,26.53333333,23.13333333,25.53333333
2026-05-03 14:15:00,26.8,26.8,,29.0,31.2,27.26666667,22.26666667,25.6
2026-05-03 14:30:00,1280.13333333,31.66666667,,32.86666667,29.53333333,29.46666667,34.0,28.6
2026-05-03 14:45:00,52.86666667,25.93333333,,31.13333333,28.4,28.53333333,150.53333333,28.26666667
2026-05-03 15:00:00,31.2,25.66666667,,30.86666667,27.0,29.6,82.2,29.4
2026-05-03 15:15:00,30.93333333,24.8,,32.2,27.86666667,31.13333333,164.4,27.53333333
2026-05-03 15:30:00,30.26666667,26.4,,32.46666667,28.4,30.66666667,22.73333333,29.13333333
2026-05-03 15:45:00,33.2,28.33333333,,31.13333333,28.26666667,32.53333333,23.0,30.13333333
2026-05-03 16:00:00,30.8,26.86666667,,33.8,27.66666667,58.2,40.2,30.06666667
2026-05-03 16:15:00,33.66666667,29.06666667,,33.6,25.6,42.8,51.0,31.0
2026-05-03 16:30:00,32.8,31.2,,32.73333333,27.66666667,45.4,58.6,33.66666667
2026-05-03 16:45:00,32.06666667,27.8,,32.2,27.06666667,31.93333333,67.33333333,31.8
