Date/Time,1040_O_MCCA,2071_O_NOSD,4124_O_FRONT,4431_O_WBG,4584_O_MOON,5571_O_BUFF,5662_O_DOWN,5679_O_BLOO,6227_O_ELIB,6386_O_SOSI,7543_O_MILL,7956_O_BELL
2016-11-22 20:00:00,3989.933333333333,2343.0,4342.2,2152.733333333333,1273.7333333333333,1309.3333333333333,1948.2666666666669,3362.0,2769.666666666666,3476.2,,2056.2
2016-11-22 20:15:00,4062.333333333334,2210.1666666666665,3933.266666666667,2089.6,1561.666666666667,1952.666666666667,2178.2,3294.6,3044.0,2671.0666666666666,,2145.733333333333
2016-11-22 20:30:00,4134.933333333333,868.4666666666667,4074.8,1995.2666666666669,1580.333333333333,2638.4666666666667,2643.0666666666666,3099.8,3048.4666666666667,3530.333333333333,,2317.133333333333
2016-11-22 20:45:00,4511.6,2665.2,4100.2,2044.8666666666666,1726.666666666667,2000.666666666667,2829.866666666667,3139.266666666667,3146.2,4687.8,,2346.8
2016-11-22 21:00:00,4495.333333333333,3044.4,4307.933333333333,2151.0666666666666,1618.2666666666669,1788.533333333333,3387.2,3724.266666666667,3160.2,4552.2,,2400.4666666666667
2016-11-22 21:15:00,4868.466666666666,3188.066666666666,4677.733333333334,2102.8,1598.2666666666669,1426.8666666666666,3204.066666666666,3910.4,3182.866666666667,3893.933333333333,,2519.0666666666666
2016-11-22 21:30:00,4932.733333333334,3151.733333333333,4753.266666666666,2688.2,1617.8666666666666,2309.6666666666665,3341.333333333333,4134.0,3327.4666666666667,3303.133333333333,,2620.733333333333
2016-11-22 21:45:00,5359.0,3219.333333333333,4356.533333333334,2470.8,1988.8666666666666,3032.4666666666667,3227.6,4078.4,3546.333333333333,3448.5333333333333,,2560.8
2016-11-22 22:00:00,5773.4,3258.4666666666667,4402.6,3766.4666666666662,2735.6666666666665,2936.4666666666667,3421.0,4161.533333333334,4108.533333333334,3534.8,,2559.0666666666666
2016-11-22 22:15:00,6354.0,3123.933333333333,4396.0,9651.933333333332,1991.333333333333,2612.4666666666667,3614.8,4423.466666666666,4658.4,3595.2,,2742.733333333333
2016-11-22 22:30:00,6525.666666666668,3279.5333333333333,4517.666666666667,5405.533333333334,2079.733333333333,2449.333333333333,3393.6,4373.8,4446.133333333333,3776.933333333333,,2798.2
2016-11-22 22:45:00,6401.4,3579.333333333333,4823.333333333333,3559.8,2778.933333333333,2420.0,3350.333333333333,4953.6,4276.133333333333,3975.133333333333,,3042.2
2016-11-22 23:00:00,6640.333333333332,3498.4,5184.066666666667,6767.333333333332,2953.6,2741.333333333333,3538.4666666666667,4552.933333333333,4293.866666666667,3643.133333333333,,2967.8
2016-11-22 23:15:00,6780.4,3406.4,5140.133333333333,3664.6,3245.2,3196.6,3666.266666666667,4562.066666666667,4329.0,3477.4,,3100.866666666667
2016-11-22 23:30:00,6310.133333333332,3684.066666666666,5042.0,3633.666666666666,2703.0,3181.933333333333,3733.666666666666,4686.933333333333,4598.6,3636.0,,3133.333333333333
