Date/Time,8304_O_SQHS,7134_O_LWCV,8699_O_BLOO,8183_O_MILL,4530_O_CNTP,6809_O_SQHS,1404_O_TROY,7543_O_MILL,4431_O_WBG,3555_O_SCLL,5571_O_BUFF,8941_O_MTLE,5624_O_BUFF,8850_O_LWCV,3283_O_LEET,1282_O_BCVW,2071_O_NOSD,2319_O_DWNTN,8698_O_NOSD,6582_O_OAKD,2281_O_HiPK
2017-09-06 22:15:00,25.333333333333332,39.4,24.866666666666667,,,26.533333333333335,27.8,22.933333333333334,89.26666666666667,,33.0,26.666666666666668,33.0,38.06666666666667,36.0,19.866666666666667,41.06666666666667,,41.13333333333333,,22.866666666666667
2017-09-06 22:30:00,29.8,42.266666666666666,23.6,,,27.666666666666668,41.266666666666666,25.8,90.0,,32.06666666666667,28.8,32.06666666666667,37.0,49.666666666666664,21.8,40.2,,28.2,,29.066666666666666
2017-09-06 22:45:00,29.266666666666666,32.86666666666667,27.266666666666666,,,29.933333333333334,41.86666666666667,30.866666666666667,185.4,,35.2,22.733333333333334,35.2,38.4,52.93333333333333,25.266666666666666,39.93333333333333,,42.0,,28.666666666666668
2017-09-06 23:00:00,36.333333333333336,35.2,28.866666666666667,,,34.2,38.333333333333336,37.06666666666667,165.53333333333333,,34.86666666666667,21.266666666666666,34.86666666666667,39.53333333333333,78.06666666666666,27.466666666666665,38.733333333333334,,42.4,,31.466666666666665
2017-09-06 23:15:00,30.8,32.733333333333334,31.466666666666665,,,33.0,39.8,40.266666666666666,265.4,,35.333333333333336,21.333333333333332,35.333333333333336,40.333333333333336,54.733333333333334,30.866666666666667,40.53333333333333,,34.0,,31.6
2017-09-06 23:30:00,32.53333333333333,30.133333333333333,32.2,,,28.666666666666668,32.53333333333333,50.333333333333336,142.4,,38.0,20.266666666666666,38.0,39.266666666666666,52.8,32.86666666666667,40.4,,31.866666666666667,,29.266666666666666
2017-09-06 23:45:00,28.466666666666665,29.666666666666668,27.2,,,25.266666666666666,30.666666666666668,55.0,163.2,,34.0,21.533333333333335,34.0,40.666666666666664,45.266666666666666,32.0,43.93333333333333,,34.8,,26.533333333333335
2017-09-07 00:00:00,26.8,28.933333333333334,28.866666666666667,,,23.933333333333334,29.466666666666665,46.4,160.2,,35.53333333333333,22.466666666666665,35.53333333333333,41.86666666666667,47.0,31.0,42.266666666666666,,30.6,,22.8
2017-09-07 00:15:00,27.666666666666668,34.333333333333336,30.266666666666666,,,24.266666666666666,28.6,47.266666666666666,300.8,,39.8,24.4,39.8,45.0,45.8,35.0,43.333333333333336,,33.13333333333333,,27.0
2017-09-07 00:30:00,34.733333333333334,34.46666666666667,28.933333333333334,,,28.2,32.2,46.06666666666667,494.6666666666667,,44.86666666666667,25.466666666666665,44.86666666666667,48.13333333333333,49.333333333333336,37.06666666666667,43.93333333333333,,37.93333333333333,,28.266666666666666
2017-09-07 00:45:00,42.46666666666667,34.53333333333333,34.333333333333336,,,27.933333333333334,36.666666666666664,45.86666666666667,251.66666666666666,,46.46666666666667,25.066666666666666,46.46666666666667,48.733333333333334,54.266666666666666,35.2,46.733333333333334,,37.86666666666667,,32.8
2017-09-07 01:00:00,37.06666666666667,33.733333333333334,36.6,,,29.933333333333334,38.8,50.06666666666667,380.8,,55.4,25.8,55.4,48.266666666666666,59.13333333333333,34.46666666666667,45.666666666666664,,37.53333333333333,,41.13333333333333
2017-09-07 01:15:00,38.93333333333333,35.06666666666667,40.333333333333336,,,37.86666666666667,36.8,52.333333333333336,202.73333333333332,,52.46666666666667,28.4,52.46666666666667,49.333333333333336,52.13333333333333,35.53333333333333,47.2,,39.2,,39.13333333333333
2017-09-07 01:30:00,39.4,36.733333333333334,41.93333333333333,,,53.86666666666667,38.6,52.13333333333333,100.13333333333334,,55.8,28.0,55.8,50.266666666666666,48.86666666666667,34.333333333333336,47.2,,41.333333333333336,,38.666666666666664
