Date/Time,6189_O_LARM,2071_O_NOSD,5624_O_BUFF,5571_O_BUFF,6227_O_ELIB,8185_O_SWPK,7568_O_GIBS,7220_O_SHADY,2427_O_ELIB,2281_O_HiPK,4841_O_STDT
2016-09-10 19:30:00,,35.13333333333333,40.93333333333333,40.93333333333333,33.86666666666667,77.53333333333333,,28.533333333333335,43.0,,
2016-09-10 19:45:00,,41.666666666666664,47.53333333333333,47.53333333333333,35.733333333333334,76.73333333333333,,27.533333333333335,44.333333333333336,,
2016-09-10 20:00:00,,38.4,54.2,54.2,35.46666666666667,79.4,,28.0,45.8,,
2016-09-10 20:15:00,,37.6,53.06666666666667,53.06666666666667,35.46666666666667,81.86666666666666,,27.2,44.666666666666664,,
2016-09-10 20:30:00,,38.333333333333336,51.46666666666667,51.46666666666667,35.13333333333333,40.93333333333333,,27.066666666666666,45.266666666666666,,
2016-09-10 20:45:00,,38.06666666666667,67.6,67.6,35.93333333333333,24.8,,27.0,48.53333333333333,,
2016-09-10 21:00:00,,107.06666666666666,36.93333333333333,36.93333333333333,82.46666666666667,39.93333333333333,,47.6,46.2,,
2016-09-10 21:15:00,,47.266666666666666,35.333333333333336,35.333333333333336,51.46666666666667,40.13333333333333,,43.6,0.0,,
2016-09-10 21:30:00,,36.2,31.666666666666668,31.666666666666668,32.13333333333333,29.533333333333335,,26.866666666666667,0.0,,
2016-09-10 21:45:00,,38.46666666666667,33.6,33.6,33.266666666666666,34.4,,23.733333333333334,0.0,,
2016-09-10 22:00:00,,38.2,32.86666666666667,32.86666666666667,29.0,50.93333333333333,,22.8,0.0,,
2016-09-10 22:15:00,,33.733333333333334,33.8,33.8,24.666666666666668,43.733333333333334,,25.866666666666667,0.0,,
2016-09-10 22:30:00,,35.266666666666666,34.46666666666667,34.46666666666667,23.6,41.266666666666666,,23.333333333333332,0.0,,
2016-09-10 22:45:00,,34.266666666666666,61.46666666666667,61.46666666666667,25.0,36.2,,22.133333333333333,0.0,,
2016-09-10 23:00:00,,32.46666666666667,52.4,52.4,23.933333333333334,39.4,,21.733333333333334,0.0,,
2016-09-10 23:15:00,,35.06666666666667,53.666666666666664,53.666666666666664,25.0,35.4,,19.066666666666666,0.0,,
2016-09-10 23:30:00,,38.4,55.666666666666664,55.666666666666664,28.266666666666666,44.86666666666667,,20.8,0.0,,
