Date/Time,2164_O_DMBR,7924_O_LWCV,5809_O_SHGT,6651_O_SHGT,6780_O_FXCP,2130_O_MTOV,2759_O_BRHT,8888_O_MRSD,5624_O_BUFF,2400_O_STGC,7578_O_BVFL,3746_O_DOWN,8941_O_MTLE,5571_O_BUFF,4431_O_WBG,5470_O_SQHS,4667_O_PHLL,2554_O_STCG,4363_O_XXXX,4530_O_CNTP,4463_O_XXXX,8457_O_XXXX
2019-01-20 21:30:00,690.0,,971.6666666666666,,756.8666666666667,,,1556.1333333333334,1096.4,1121.8666666666666,3775.4666666666667,740.0666666666667,704.9333333333333,1096.4,1149.0,1184.5333333333333,664.1333333333333,910.6,871.2666666666667,,,
2019-01-20 21:45:00,768.3333333333334,,855.7333333333333,,799.2666666666667,,,912.4,1106.4,1158.8666666666666,974.0666666666667,723.8666666666667,697.0666666666667,1106.4,1230.4,1255.8666666666666,660.8,910.3333333333334,1077.6666666666667,,,
2019-01-20 22:00:00,765.8666666666667,,1013.3333333333334,,795.0,,,876.6,1081.0666666666666,1161.1333333333334,888.8666666666667,691.4,712.7333333333333,1081.0666666666666,1173.8,1568.5333333333333,639.8,901.0,1218.2,,,
2019-01-20 22:15:00,783.2666666666667,,1042.0,,804.5333333333333,,,846.7333333333333,1068.0666666666666,1233.4,1101.6666666666667,679.0666666666667,706.2,1068.0666666666666,1163.9333333333334,1544.4,663.7333333333333,949.7333333333333,921.0666666666667,,,
2019-01-20 22:30:00,981.0666666666667,,1021.9333333333333,,1065.6,,,759.6,1287.7333333333333,1264.8666666666666,1077.7333333333333,689.6666666666666,707.4666666666667,1287.7333333333333,1225.8,1350.8666666666666,719.5333333333333,974.8,892.2,,,
2019-01-20 22:45:00,1112.6666666666667,,1239.8,,852.8666666666667,,,987.3333333333334,1064.5333333333333,1265.3333333333333,1065.6666666666667,686.3333333333334,725.8,1064.5333333333333,1035.5333333333333,1662.8,743.0666666666667,1033.7333333333333,1004.7333333333333,,,
2019-01-20 23:00:00,1017.0,,1188.8,,809.9333333333333,,,1656.2,1041.7333333333333,1250.0,1076.7333333333333,755.6666666666666,737.8,1041.7333333333333,1076.4666666666667,1465.0666666666666,759.2,1045.2,1583.4666666666667,,,
2019-01-20 23:15:00,930.0,,1246.9333333333334,,746.0666666666667,,,952.6666666666666,1088.8666666666666,1305.6666666666667,1067.6,889.2,764.4666666666667,1088.8666666666666,1296.2666666666667,1663.1333333333334,722.2,1043.5333333333333,1286.0666666666666,,,
2019-01-20 23:30:00,954.4,,1497.6,,748.7333333333333,,,1111.3333333333333,1112.9333333333334,1314.6666666666667,1204.6666666666667,892.8,785.2666666666667,1112.9333333333334,1057.1333333333334,1633.0666666666666,692.4666666666667,1019.5333333333333,2134.266666666667,,,
2019-01-20 23:45:00,1132.7333333333333,,1352.0666666666666,,754.9333333333333,,,1326.7333333333333,1202.0,1294.4666666666667,1088.2,872.8666666666667,810.3333333333334,1202.0,1093.2666666666667,1656.9333333333334,706.6,959.7333333333333,1651.4666666666667,,,
