Date/Time,5907_O_EDWD,4634_O_NOSD,1272_O_SQHL,7984_O_PLHL,5093_O_MCCA,2467_O_BAVN,1124_O_PLUM,4924_O_WOAK,2748_O_ALPK,5166_O_AMBR,7896_O_PTBZ,4431_O_WBG,7872_O_SPHL
2026-03-13 14:45:00,152.3253667,183.638,226.9577333,38.6,233.079,222.4845,,64.4,44.8,123.3333333,,,172.5726333
2026-03-13 15:00:00,148.0875667,190.4655667,218.2467,38.26666667,213.7734667,227.1931667,,56.73333333,50.26666667,64.73333333,,,170.6891667
2026-03-13 15:15:00,135.8450333,167.6285333,212.3608667,34.93333333,219.6593,205.0624333,,60.6,47.93333333,62.86666667,,,163.8616
2026-03-13 15:30:00,142.6726,181.9899667,207.8876333,35.2,212.1254333,186.2277667,,61.66666667,46.26666667,79.4,,,162.9198667
2026-03-13 15:45:00,157.5049,173.2789333,237.5522333,40.13333333,205.2978667,213.7734667,,68.46666667,46.8,308,,,163.1553
2026-03-13 16:00:00,167.1576667,162.449,233.3144333,42.8,219.1884333,181.5191,,60.13333333,45.06666667,57.46666667,,,157.9757667
2026-03-13 16:15:00,160.3301,161.7427,239.9065667,41.6,206.2396,175.1624,,88.4,44.6,71.2,,,156.5631667
2026-03-13 16:30:00,179.1647667,178.4584667,262.2727333,43.53333333,216.3632333,170.2183,,80.06666667,45.06666667,63.53333333,,,165.7450667
2026-03-13 16:45:00,247.6758667,180.3419333,560.3313333,44.33333333,227.1931667,190.9364333,,121.3333333,48.6,55.73333333,,,167.8639667
2026-03-13 17:00:00,222.2490667,194.4679333,413.4209333,42.73333333,225.0742667,278.7530667,,115.4666667,59.46666667,63.46666667,,,168.0994
2026-03-13 17:15:00,199.8829,225.0742667,339.4948667,46.86666667,232.1372667,245.5569667,,99,66.46666667,104.4666667,,,177.9876
2026-03-13 17:30:00,173.5143667,262.7436,260.1538333,45.86666667,231.4309667,267.9231333,,60.66666667,65.46666667,194.6,,,243.6735
2026-03-13 17:45:00,172.3372,246.2632667,258.9766667,56.8,249.3239,319.9539,,74.26666667,73,276.5333333,,,203.8852667
2026-03-13 18:00:00,312.6554667,193.9970667,472.5147,61.86666667,234.9624667,264.1562,,125.6,62.46666667,104.0666667,,,181.7545333
2026-03-13 18:15:00,339.024,226.4868667,476.5170667,69,230.4892333,211.89,,107,55.8,87.66666667,,,217.3049667
2026-03-13 18:30:00,261.5664333,191.6427333,346.087,66.93333333,247.9113,226.9577333,,74.66666667,76.26666667,106.5333333,,,184.1088667
2026-03-13 18:45:00,219.4238667,262.9790333,213.5380333,49.8,,825.6647,,53.2,102.4,92.53333333,,,229.0766333
2026-03-13 19:00:00,156.5631667,317.3641333,237.0813667,36.86666667,,596.3526333,,56.13333333,88.46666667,98.86666667,,,316.4224
2026-03-13 19:15:00,162.6844333,332.9027333,210.2419667,33.93333333,,871.5742,,52.6,61.93333333,119.4666667,,,298.5294667
2026-03-13 19:30:00,153.2671,196.3514,231.6664,31.46666667,,492.0556667,,53.06666667,63.6,125.8666667,,,194.7033667
2026-03-13 19:45:00,155.8568667,220.6010333,208.5939333,27.46666667,,270.0420333,,51.06666667,65.53333333,112.1333333,,,199.4120333
2026-03-13 20:00:00,146.9104,251.6782333,183.8734333,31.73333333,,253.5617,,47.93333333,65.6,107.9333333,,,183.1671333
