Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL,3050_O_OHCO,1266_O_WLKG
2026-05-03 03:00:00,825.0,629.0,,878.86666667,1707.06666667,1054.86666667,760.93333333,947.4,,
2026-05-03 03:15:00,940.13333333,637.2,,875.86666667,1367.73333333,1013.6,801.53333333,939.2,,
2026-05-03 03:30:00,1033.06666667,641.2,,880.93333333,947.06666667,1021.26666667,1029.86666667,938.8,,
2026-05-03 03:45:00,1059.33333333,704.26666667,,901.26666667,863.8,1027.66666667,1276.66666667,1021.13333333,,
2026-05-03 04:00:00,1012.2,758.66666667,,948.8,907.8,1032.0,1494.73333333,1063.86666667,,
2026-05-03 04:15:00,1048.13333333,836.46666667,,1060.26666667,915.2,1163.66666667,1197.06666667,1050.8,,
2026-05-03 04:30:00,1032.66666667,958.06666667,,1160.73333333,869.8,1189.66666667,1293.2,1002.86666667,,
2026-05-03 04:45:00,1073.6,1011.0,,1186.8,869.4,1191.66666667,1408.0,1029.86666667,,
2026-05-03 05:00:00,1128.06666667,1043.66666667,,1273.4,898.13333333,1216.53333333,1452.2,1097.86666667,,
2026-05-03 05:15:00,1195.8,1063.33333333,,1405.26666667,929.33333333,1233.0,1387.53333333,1182.0,,
2026-05-03 05:30:00,1261.93333333,1068.2,,1511.13333333,950.93333333,1240.86666667,1435.86666667,1279.66666667,,
2026-05-03 05:45:00,1302.46666667,975.53333333,,1582.86666667,972.06666667,1288.46666667,1514.06666667,1366.8,,
2026-05-03 06:00:00,1392.66666667,965.8,,1658.4,1005.73333333,1270.86666667,1650.06666667,1421.8,,
2026-05-03 06:15:00,1454.93333333,908.6,,1687.2,1139.33333333,1374.73333333,1723.6,1413.13333333,,
2026-05-03 06:30:00,1476.53333333,841.86666667,,1630.13333333,1148.93333333,1410.66666667,1751.8,1423.4,,
2026-05-03 06:45:00,1496.86666667,824.13333333,,1552.33333333,1183.93333333,1419.4,1731.73333333,1387.66666667,,
2026-05-03 07:00:00,1532.2,889.06666667,,1456.46666667,1212.53333333,1420.73333333,1781.2,1313.6,,
2026-05-03 07:15:00,1605.06666667,868.6,,1457.13333333,1013.86666667,1350.53333333,1629.93333333,1285.73333333,,
2026-05-03 07:30:00,1470.2,761.26666667,,1362.4,792.06666667,1236.86666667,1422.26666667,1207.2,,
2026-05-03 07:45:00,1361.06666667,680.93333333,,1209.06666667,848.33333333,1114.33333333,1356.4,1119.4,,
2026-05-03 08:00:00,1277.46666667,645.0,,1091.26666667,982.8,1016.06666667,1164.53333333,1043.53333333,,
2026-05-03 08:15:00,1128.4,633.73333333,,960.4,1197.53333333,888.73333333,1067.06666667,955.6,,
2026-05-03 08:30:00,955.8,581.33333333,,855.0,1556.2,779.4,1082.2,920.6,,
2026-05-03 08:45:00,836.8,530.93333333,,796.06666667,1422.2,651.93333333,4088.8,816.2,,
2026-05-03 09:00:00,755.2,478.53333333,,723.93333333,912.33333333,574.6,2299.53333333,735.6,,
2026-05-03 09:15:00,699.66666667,462.66666667,,668.66666667,788.93333333,527.6,1483.73333333,693.2,,
2026-05-03 09:30:00,618.2,438.53333333,,597.46666667,773.66666667,487.0,1194.26666667,589.06666667,,
2026-05-03 09:45:00,510.06666667,417.06666667,,513.46666667,868.0,434.93333333,3488.2,517.33333333,,
2026-05-03 10:00:00,464.4,600.86666667,,482.06666667,926.8,418.13333333,514.73333333,473.86666667,,
2026-05-03 10:15:00,397.73333333,422.2,,498.2,932.2,377.86666667,730.53333333,493.86666667,,
2026-05-03 10:30:00,380.13333333,422.66666667,,471.73333333,907.06666667,339.0,1353.8,495.2,,
